Node,x,y,Alternative 1 start time,Alternative 1 end time,Alternative 2 start time,Alternative 2 end time,Alternative 3 start time,Alternative 3 end time
0,26,25,0,99999999,0,0,0,0
1,24,29,0,30,150,180,90,120
2,26,26,180,210,0,30,30,60
3,26,15,180,210,30,60,0,30
4,18,29,0,30,30,60,150,180
5,16,29,0,30,150,180,30,60
6,-2,25,210,240,30,60,420,450
7,-5,29,210,240,90,120,0,30
8,3,26,0,30,480,510,90,120
9,4,15,210,240,60,90,90,120
10,5,29,0,30,480,510,120,150
11,3,29,120,150,90,120,420,450
12,6,30,60,90,150,180,120,150
13,25,-30,390,420,360,390,120,150
14,27,-29,60,90,150,180,360,390
15,23,-17,90,120,390,420,150,180
16,23,-20,420,450,510,540,390,420
17,21,-22,90,120,390,420,210,240
18,24,-25,420,450,120,150,390,420
19,-5,5,420,450,180,210,150,180
20,-6,7,450,480,60,90,150,180
21,-3,2,120,150,150,180,0,30
22,9,-1,270,300,150,180,240,270
23,8,-6,510,540,210,240,60,90
24,5,-3,510,540,90,120,210,240
25,-17,-20,300,330,240,270,0,30
26,-30,-23,330,360,30,60,240,270
27,-20,-24,330,360,240,270,210,240
28,-15,-19,510,540,270,300,180,210
29,-20,-27,510,540,300,330,270,300
30,-16,-28,510,540,270,300,300,330
