Node,x,y,Alternative 1 start time,Alternative 1 end time,Alternative 2 start time,Alternative 2 end time,Alternative 3 start time,Alternative 3 end time
0,20,21,0,99999999,0,0,0,0
1,23,23,0,30,150,180,90,120
2,21,30,180,210,0,30,30,60
3,27,23,180,210,0,30,360,390
4,25,29,0,30,30,60,150,180
5,22,27,30,60,150,180,450,480
6,22,24,210,240,30,60,420,450
7,22,26,210,240,30,60,0,30
8,29,24,0,30,480,510,30,60
9,27,30,210,240,30,60,240,270
10,27,28,30,60,480,510,150,180
11,21,21,60,90,30,60,420,450
12,26,-16,60,90,90,120,450,480
13,34,-21,390,420,360,390,120,150
14,29,-24,120,150,150,180,360,390
15,35,-17,90,120,510,540,150,180
16,30,-18,420,450,510,540,150,180
17,27,-18,150,180,180,210,210,240
18,27,-21,420,450,120,150,150,180
19,32,-21,420,450,150,180,120,150
20,27,-22,450,480,60,90,150,180
21,26,-19,150,180,180,210,0,30
22,-2,6,210,240,150,180,240,270
23,-2,4,510,540,210,240,60,90
24,2,6,510,540,90,120,210,240
25,-6,4,300,330,240,270,0,30
26,0,15,330,360,270,300,240,270
27,-5,13,330,360,270,300,210,240
28,-10,9,510,540,270,300,180,210
29,-4,4,510,540,300,330,270,300
30,5,11,510,540,0,30,300,330
31,-5,7,360,390,300,330,270,300
32,7,6,570,600,330,360,90,120
33,-7,10,630,660,360,390,330,360
34,7,8,360,390,0,30,330,360
35,-7,3,570,600,390,420,30,60
36,-1,3,600,630,360,390,390,420
37,4,3,630,660,390,420,420,450
38,2,6,660,690,0,30,420,450
39,-1,2,660,690,420,450,390,420
40,-10,6,600,630,360,390,450,480
41,4,4,450,480,300,330,150,180
42,2,-5,510,540,0,30,480,510
43,8,-9,480,510,30,60,270,300
44,0,-9,570,600,330,360,510,540
45,-3,-9,630,660,510,540,330,360
46,3,-9,510,540,0,30,330,360
47,0,-15,540,570,360,390,30,60
48,-2,-4,600,630,360,390,540,570
49,-7,-4,630,660,540,570,90,120
50,-3,-9,660,690,540,570,390,420
51,-4,-3,570,600,420,450,390,420
52,-8,-12,570,600,360,390,330,360
53,5,-5,510,540,300,330,600,630
54,6,-10,510,540,630,660,300,330
55,4,-14,360,390,630,660,270,300
56,0,-3,630,660,330,360,90,120
57,-10,-14,630,660,390,420,660,690
58,5,-7,690,720,0,30,330,360
59,-7,-8,570,600,360,390,690,720
60,0,-3,600,630,360,390,720,750
